Year,State,County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,90% Confidence Interval (All Ages in Poverty Count),All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,90% Confidence Interval (All Ages in Poverty Percent),Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Count LB 90%,Under Age 18 in Poverty Count UB 90%,90% Confidence Interval (Under Age 18 in Poverty Count),Under Age 18 in Poverty Percent,Under Age 18 in Poverty Percent LB 90%,Under Age 18 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 18 in Poverty Percent),Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Count LB 90%,Ages 5 to 17 in Families in Poverty Count UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count),Ages 5 to 17 in Families in Poverty Percent,Ages 5 to 17 in Families in Poverty Percent LB 90%,Ages 5 to 17 in Families in Poverty Percent UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent),Under Age 5 SAIPE Poverty Universe,Under Age 5 in Poverty Count,Under Age 5 in Poverty Count LB 90%,Under Age 5 in Poverty Count UB 90%,90% Confidence Interval (Under Age 5 in Poverty Count),Under Age 5 in Poverty Percent,Under Age 5 in Poverty Percent LB 90%,Under Age 5 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 5 in Poverty Percent),Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval (Median Household Income in Dollars)
2005,17,17000,Illinois,12400423,1484992,1458942,1511042,"1,458,942 to 1,511,042",12,11.8,12.2,11.8 to 12.2,3188914,524897,509022,540772,"509,022 to 540,772",16.5,16,17,16.0 to 17.0,2289880,341763,329036,354490,"329,036 to 354,490",14.9,14.4,15.5,14.4 to 15.5,887240,172082,162933,181232,"162,933 to 181,232",19.4,18.4,20.4,18.4 to 20.4,50270,49940,50601,"$49,940 to $50,601"
2004,17,17000,Illinois,12528129,1486115,1395834,1576396,"1,395,834 to 1,576,396",11.9,11.1,12.6,11.1 to 12.6,3232895,539394,488300,590487,"488,300 to 590,487",16.7,15.1,18.3,15.1 to 18.3,2322622,369244,321539,416949,"321,539 to 416,949",15.9,13.8,18,13.8 to 18.0,887310,157174,135866,178482,"135,866 to 178,482",17.7,15.3,20.1,15.3 to 20.1,47711,46301,49121,"$46,301 to $49,121"
2003,17,17000,Illinois,12477639,1426978,1346150,1507806,"1,346,150 to 1,507,806",11.4,10.8,12.1,10.8 to 12.1,3235729,505048,465636,544459,"465,636 to 544,459",15.6,14.4,16.8,14.4 to 16.8,2324659,333173,301417,364929,"301,417 to 364,929",14.3,13,15.7,13.0 to 15.7,880251,154707,131219,178196,"131,219 to 178,196",17.6,14.9,20.2,14.9 to 20.2,47367,45872,48863,"$45,872 to $48,863"
2002,17,17000,Illinois,12443493,1411869,1325875,1497863,"1,325,875 to 1,497,863",11.3,10.7,12,10.7 to 12.0,3234154,494208,452290,536127,"452,290 to 536,127",15.3,14,16.6,14.0 to 16.6,2300325,317920,285812,350028,"285,812 to 350,028",13.8,12.4,15.2,12.4 to 15.2,887347,161558,134807,188310,"134,807 to 188,310",18.2,15.2,21.2,15.2 to 21.2,44946,43228,46664,"$43,228 to $46,664"
2001,17,17000,Illinois,12324141,1247836,1183039,1312632,"1,183,039 to 1,312,632",10.1,9.6,10.7,9.6 to 10.7,3208994,469832,424692,514973,"424,692 to 514,973",14.6,13.2,16,13.2 to 16.0,2305114,314263,273563,354963,"273,563 to 354,963",13.6,11.9,15.4,11.9 to 15.4,872666,137174,120174,154174,"120,174 to 154,174",15.7,13.8,17.7,13.8 to 17.7,46991,45668,48314,"$45,668 to $48,314"
2000,17,17000,Illinois,12243210,1227886,1162967,1292805,"1,162,967 to 1,292,805",10,9.5,10.6,9.5 to 10.6,3203066,466500,428675,504326,"428,675 to 504,326",14.6,13.4,15.7,13.4 to 15.7,2294341,302163,269619,334707,"269,619 to 334,707",13.2,11.8,14.6,11.8 to 14.6,865197,147441,127548,167334,"127,548 to 167,334",17,14.7,19.3,14.7 to 19.3,46327,44768,47886,"$44,768 to $47,886"
1999,17,17000,Illinois,12198363,1236644,1151073,1322215,"1,151,073 to 1,322,215",10.1,9.4,10.8,9.4 to 10.8,3210844,480853,423480,538225,"423,480 to 538,225",15,13.2,16.8,13.2 to 16.8,2300811,312577,263072,362082,"263,072 to 362,082",13.6,11.4,15.7,11.4 to 15.7,866769,150013,122608,177419,"122,608 to 177,419",17.3,14.1,20.5,14.1 to 20.5,45214,43916,46513,"$43,916 to $46,513"
1998,17,17000,Illinois,12057888,1281425,1186987,1375864,"1,186,987 to 1,375,864",10.6,9.8,11.4,9.8 to 11.4,3235571,498804,436158,561449,"436,158 to 561,449",15.4,13.5,17.4,13.5 to 17.4,2310088,321423,264752,378094,"264,752 to 378,094",13.9,11.5,16.4,11.5 to 16.4,886541,152657,125475,179838,"125,475 to 179,838",17.2,14.2,20.3,14.2 to 20.3,43141,41693,44588,"$41,693 to $44,588"
1997,17,17000,Illinois,NA,1353506,1266070,1440943,"1,266,070 to 1,440,943",11.3,10.5,12,10.5 to 12.0,NA,564675,515380,613970,"515,380 to 613,970",17.5,15.9,19,15.9 to 19.0,NA,366954,324892,409016,"324,892 to 409,016",16.2,14.3,18.1,14.3 to 18.1,NA,170149,144938,195360,"144,938 to 195,360",18.7,15.9,21.4,15.9 to 21.4,41179,39776,42581,"$39,776 to $42,581"
1996,17,17000,Illinois,NA,1428275,1343696,1512855,"1,343,696 to 1,512,855",12,11.3,12.7,11.3 to 12.7,NA,591749,542886,640611,"542,886 to 640,611",18.4,16.8,19.9,16.8 to 19.9,NA,372098,328485,415711,"328,485 to 415,711",16.6,14.6,18.5,14.6 to 18.5,NA,191336,165756,216915,"165,756 to 216,915",20.9,18.1,23.7,18.1 to 23.7,39490,37981,41000,"$37,981 to $41,000"
1995,17,17000,Illinois,NA,1331704,1271597,1391811,"1,271,597 to 1,391,811",11.3,10.8,11.8,10.8 to 11.8,NA,593057,558573,627542,"558,573 to 627,542",18.5,17.4,19.5,17.4 to 19.5,NA,362791,342722,382860,"342,722 to 382,860",16.1,15.2,17,15.2 to 17.0,NA,205255,177071,233439,"177,071 to 233,439",22.1,19.1,25.2,19.1 to 25.2,38078,36753,39403,"$36,753 to $39,403"
1993,17,17000,Illinois,NA,1565290,1471810,1658770,"1,471,810 to 1,658,770",13.4,12.6,14.2,12.6 to 14.2,NA,643528,590661,696395,"590,661 to 696,395",20.4,18.7,22,18.7 to 22.0,NA,399863,356178,443548,"356,178 to 443,548",18.5,16.5,20.6,16.5 to 20.6,NA,222953,198883,247023,"198,883 to 247,023",23.5,21,26.1,21.0 to 26.1,33592,32505,34679,"$32,505 to $34,679"
1989,17,17000,Illinois,NA,1348440,1282347,1414533,"1,282,347 to 1,414,533",11.9,11.3,12.5,11.3 to 12.5,NA,546684,505320,588048,"505,320 to 588,048",18.4,17,19.7,17.0 to 19.7,NA,348629,314653,382605,"314,653 to 382,605",16.8,15.1,18.4,15.1 to 18.4,NA,181051,157636,204466,"157,636 to 204,466",20.7,18.1,23.4,18.1 to 23.4,31846,30818,32874,"$30,818 to $32,874"
2016,18,18000,Indiana,6432851,899168,881690,916646,"881,690 to 916,646",14,13.7,14.3,13.7 to 14.3,1541920,294900,283937,305863,"283,937 to 305,863",19.1,18.4,19.8,18.4 to 19.8,1124168,201287,191316,211258,"191,316 to 211,258",17.9,17,18.8,17.0 to 18.8,409548,85922,81057,90787,"81,057 to 90,787",21,19.8,22.2,19.8 to 22.2,52289,51922,52656,"$51,922 to $52,656"
2015,18,18000,Indiana,6417433,924428,906481,942375,"906,481 to 942,375",14.4,14.1,14.7,14.1 to 14.7,1545123,314486,303600,325372,"303,600 to 325,372",20.4,19.7,21.1,19.7 to 21.1,1127735,211780,202402,221158,"202,402 to 221,158",18.8,18,19.6,18.0 to 19.6,409307,95156,89876,100436,"89,876 to 100,436",23.2,21.9,24.5,21.9 to 24.5,50510,50126,50894,"$50,126 to $50,894"
2014,18,18000,Indiana,6391497,968437,950798,986076,"950,798 to 986,076",15.2,14.9,15.5,14.9 to 15.5,1545261,328349,318378,338320,"318,378 to 338,320",21.2,20.6,21.8,20.6 to 21.8,1128089,217465,209291,225639,"209,291 to 225,639",19.3,18.6,20,18.6 to 20.0,409190,103837,98555,109119,"98,555 to 109,119",25.4,24.1,26.7,24.1 to 26.7,49384,48906,49862,"$48,906 to $49,862"
2013,18,18000,Indiana,6367955,1008411,990634,1026188,"990,634 to 1,026,188",15.8,15.5,16.1,15.5 to 16.1,1551479,339807,329272,350342,"329,272 to 350,342",21.9,21.2,22.6,21.2 to 22.6,1134360,226607,217617,235597,"217,617 to 235,597",20,19.2,20.8,19.2 to 20.8,408867,105472,99881,111063,"99,881 to 111,063",25.8,24.4,27.2,24.4 to 27.2,47508,47002,48014,"$47,002 to $48,014"
2012,18,18000,Indiana,6342403,984948,969517,1000379,"969,517 to 1,000,379",15.5,15.3,15.7,15.3 to 15.7,1564255,345235,335861,354609,"335,861 to 354,609",22.1,21.5,22.7,21.5 to 22.7,1139828,228022,220554,235490,"220,554 to 235,490",20,19.3,20.7,19.3 to 20.7,416596,110112,104930,115294,"104,930 to 115,294",26.4,25.2,27.6,25.2 to 27.6,46954,46540,47368,"$46,540 to $47,368"
2011,18,18000,Indiana,6318952,1001053,983059,1019047,"983,059 to 1,019,047",15.8,15.5,16.1,15.5 to 16.1,1565769,353510,341921,365099,"341,921 to 365,099",22.6,21.9,23.3,21.9 to 23.3,1135183,233507,223596,243418,"223,596 to 243,418",20.6,19.7,21.5,19.7 to 21.5,419711,111020,105328,116712,"105,328 to 116,712",26.5,25.1,27.9,25.1 to 27.9,46410,45964,46856,"$45,964 to $46,856"
2010,18,18000,Indiana,6294427,960402,942495,978309,"942,495 to 978,309",15.3,15,15.6,15.0 to 15.6,1576164,340700,330138,351262,"330,138 to 351,262",21.6,20.9,22.3,20.9 to 22.3,1143084,224269,214987,233551,"214,987 to 233,551",19.6,18.8,20.4,18.8 to 20.4,424068,107909,102827,112991,"102,827 to 112,991",25.4,24.2,26.6,24.2 to 26.6,44616,44178,45054,"$44,178 to $45,054"
2009,18,18000,Indiana,6228213,895619,878284,912953,"878,284 to 912,953",14.4,14.1,14.7,14.1 to 14.7,1560301,310140,299765,320514,"299,765 to 320,514",19.9,19.2,20.5,19.2 to 20.5,1116468,196437,187875,204999,"187,875 to 204,999",17.6,16.8,18.4,16.8 to 18.4,436905,107473,101977,112970,"101,977 to 112,970",24.6,23.3,25.9,23.3 to 25.9,45427,44983,45870,"$44,983 to $45,870"
2008,18,18000,Indiana,6175905,799567,783820,815314,"783,820 to 815,314",12.9,12.7,13.2,12.7 to 13.2,1549507,277503,267487,287520,"267,487 to 287,520",17.9,17.3,18.6,17.3 to 18.6,1111855,176397,167904,184890,"167,904 to 184,890",15.9,15.1,16.6,15.1 to 16.6,430010,94186,89069,99303,"89,069 to 99,303",21.9,20.7,23.1,20.7 to 23.1,48010,47481,48540,"$47,481 to $48,540"
2007,18,18000,Indiana,6145054,755245,740873,769617,"740,873 to 769,617",12.3,12.1,12.5,12.1 to 12.5,1549769,265192,256302,274081,"256,302 to 274,081",17.1,16.5,17.7,16.5 to 17.7,1111954,166365,158735,173995,"158,735 to 173,995",15,14.3,15.6,14.3 to 15.6,427607,89290,84777,93803,"84,777 to 93,803",20.9,19.8,21.9,19.8 to 21.9,47422,47052,47793,"$47,052 to $47,793"
2006,18,18000,Indiana,6125594,768642,752872,784412,"752,872 to 784,412",12.5,12.3,12.8,12.3 to 12.8,1546475,268729,258879,278579,"258,879 to 278,579",17.4,16.7,18,16.7 to 18.0,1113030,169960,161204,178716,"161,204 to 178,716",15.3,14.5,16.1,14.5 to 16.1,423165,89319,84762,93877,"84,762 to 93,877",21.1,20,22.2,20.0 to 22.2,45414,45005,45822,"$45,005 to $45,822"
2005,18,18000,Indiana,6059456,736632,720269,752995,"720,269 to 752,995",12.2,11.9,12.4,11.9 to 12.4,1561841,258976,249110,268841,"249,110 to 268,841",16.6,15.9,17.2,15.9 to 17.2,1133245,166214,157600,174828,"157,600 to 174,828",14.7,13.9,15.4,13.9 to 15.4,420117,84394,79840,88948,"79,840 to 88,948",20.1,19,21.2,19.0 to 21.2,44051,43569,44532,"$43,569 to $44,532"
2004,18,18000,Indiana,6151698,683371,632133,734609,"632,133 to 734,609",11.1,10.3,11.9,10.3 to 11.9,1595746,250998,224853,277143,"224,853 to 277,143",15.7,14.1,17.4,14.1 to 17.4,1141287,155506,132326,178686,"132,326 to 178,686",13.6,11.6,15.7,11.6 to 15.7,427456,84784,72772,96795,"72,772 to 96,795",19.8,17,22.6,17.0 to 22.6,43217,41838,44595,"$41,838 to $44,595"
2003,18,18000,Indiana,6111108,609645,570409,648882,"570,409 to 648,882",10,9.3,10.6,9.3 to 10.6,1590091,217420,197186,237654,"197,186 to 237,654",13.7,12.4,14.9,12.4 to 14.9,1138790,129878,114590,145166,"114,590 to 145,166",11.4,10.1,12.7,10.1 to 12.7,424295,76413,63650,89175,"63,650 to 89,175",18,15,21,15.0 to 21.0,43323,41972,44675,"$41,972 to $44,675"
2002,18,18000,Indiana,6081423,585247,544946,625549,"544,946 to 625,549",9.6,9,10.3,9.0 to 10.3,1594851,189829,168600,211058,"168,600 to 211,058",11.9,10.6,13.2,10.6 to 13.2,1145852,120125,102332,137918,"102,332 to 137,918",10.5,8.9,12,8.9 to 12.0,425472,61481,49885,73077,"49,885 to 73,077",14.5,11.7,17.2,11.7 to 17.2,41973,40338,43608,"$40,338 to $43,608"
2001,18,18000,Indiana,6028841,543742,507187,580298,"507,187 to 580,298",9,8.4,9.6,8.4 to 9.6,1586018,192843,167869,217816,"167,869 to 217,816",12.2,10.6,13.7,10.6 to 13.7,1129487,115806,93854,137758,"93,854 to 137,758",10.3,8.3,12.2,8.3 to 12.2,425839,65559,56372,74745,"56,372 to 74,745",15.4,13.2,17.6,13.2 to 17.6,42073,40645,43501,"$40,645 to $43,501"
2000,18,18000,Indiana,5997637,529323,493499,565147,"493,499 to 565,147",8.8,8.2,9.4,8.2 to 9.4,1571256,190403,170529,210277,"170,529 to 210,277",12.1,10.9,13.4,10.9 to 13.4,1124237,112712,95986,129438,"95,986 to 129,438",10,8.5,11.5,8.5 to 11.5,421892,67126,56702,77550,"56,702 to 77,550",15.9,13.4,18.4,13.4 to 18.4,41511,39795,43227,"$39,795 to $43,227"
1999,18,18000,Indiana,5965230,517883,462991,572774,"462,991 to 572,774",8.7,7.8,9.6,7.8 to 9.6,1557979,180690,144054,217325,"144,054 to 217,325",11.6,9.2,13.9,9.2 to 13.9,1114166,111522,80267,142777,"80,267 to 142,777",10,7.2,12.8,7.2 to 12.8,419475,58459,41693,75226,"41,693 to 75,226",13.9,9.9,17.9,9.9 to 17.9,40654,39300,42008,"$39,300 to $42,008"
1998,18,18000,Indiana,5905936,588765,535725,641804,"535,725 to 641,804",10,9.1,10.9,9.1 to 10.9,1557259,219858,185054,254662,"185,054 to 254,662",14.1,11.9,16.4,11.9 to 16.4,1093080,137395,106998,167792,"106,998 to 167,792",12.6,9.8,15.4,9.8 to 15.4,427920,66054,49007,83102,"49,007 to 83,102",15.4,11.5,19.4,11.5 to 19.4,39719,37970,41467,"$37,970 to $41,467"
1997,18,18000,Indiana,NA,583055,530043,636067,"530,043 to 636,067",9.9,9,10.8,9.0 to 10.8,NA,228246,200488,256004,"200,488 to 256,004",14.8,13,16.6,13.0 to 16.6,NA,144372,121462,167282,"121,462 to 167,282",13.4,11.3,15.6,11.3 to 15.6,NA,66574,51641,81506,"51,641 to 81,506",15.9,12.4,19.5,12.4 to 19.5,37909,36191,39628,"$36,191 to $39,628"
1996,18,18000,Indiana,NA,543118,492130,594106,"492,130 to 594,106",9.3,8.4,10.2,8.4 to 10.2,NA,201160,173008,229312,"173,008 to 229,312",13,11.2,14.8,11.2 to 14.8,NA,118046,91978,144114,"91,978 to 144,114",10.7,8.3,13.1,8.3 to 13.1,NA,68430,55085,81774,"55,085 to 81,774",16.1,13,19.2,13.0 to 19.2,35502,33619,37386,"$33,619 to $37,386"
1995,18,18000,Indiana,NA,571135,540261,602009,"540,261 to 602,009",9.8,9.3,10.4,9.3 to 10.4,NA,224218,205674,242761,"205,674 to 242,761",14.7,13.5,15.9,13.5 to 15.9,NA,140393,128929,151857,"128,929 to 151,857",12.9,11.8,13.9,11.8 to 13.9,NA,73223,58516,87929,"58,516 to 87,929",17.4,13.9,20.9,13.9 to 20.9,34368,32820,35916,"$32,820 to $35,916"
1993,18,18000,Indiana,NA,679988,629950,730026,"629,950 to 730,026",11.9,11,12.8,11.0 to 12.8,NA,260217,236519,283915,"236,519 to 283,915",17.3,15.7,18.8,15.7 to 18.8,NA,162399,142894,181904,"142,894 to 181,904",15.2,13.4,17,13.4 to 17.0,NA,90503,82716,98290,"82,716 to 98,290",21.5,19.7,23.4,19.7 to 23.4,31055,29806,32304,"$29,806 to $32,304"
1989,18,18000,Indiana,NA,560095,533456,586734,"533,456 to 586,734",10.3,9.8,10.7,9.8 to 10.7,NA,224746,207959,241533,"207,959 to 241,533",15.3,14.1,16.4,14.1 to 16.4,NA,141455,127849,155061,"127,849 to 155,061",13.5,12.2,14.9,12.2 to 14.9,NA,72657,62001,83313,"62,001 to 83,313",17.7,15.1,20.3,15.1 to 20.3,27769,26596,28942,"$26,596 to $28,942"
2016,19,19000,Iowa,3031272,354429,345224,363634,"345,224 to 363,634",11.7,11.4,12,11.4 to 12.0,715118,104340,98793,109887,"98,793 to 109,887",14.6,13.8,15.4,13.8 to 15.4,517681,67487,62487,72487,"62,487 to 72,487",13,12,14,12.0 to 14.0,194522,33771,31346,36196,"31,346 to 36,196",17.4,16.2,18.6,16.2 to 18.6,56354,55677,57031,"$55,677 to $57,031"
2015,19,19000,Iowa,3021824,366453,356824,376082,"356,824 to 376,082",12.1,11.8,12.4,11.8 to 12.4,714884,106192,101134,111250,"101,134 to 111,250",14.9,14.2,15.6,14.2 to 15.6,518932,71253,66857,75649,"66,857 to 75,649",13.7,12.9,14.5,12.9 to 14.5,192728,31492,29049,33935,"29,049 to 33,935",16.3,15,17.6,15.0 to 17.6,54843,54080,55606,"$54,080 to $55,606"
2014,19,19000,Iowa,3004852,368678,358553,378803,"358,553 to 378,803",12.3,12,12.6,12.0 to 12.6,710872,110382,104929,115835,"104,929 to 115,835",15.5,14.7,16.3,14.7 to 16.3,516120,74948,69961,79935,"69,961 to 79,935",14.5,13.5,15.5,13.5 to 15.5,191272,31946,29841,34051,"29,841 to 34,051",16.7,15.6,17.8,15.6 to 17.8,53816,53087,54545,"$53,087 to $54,545"
2013,19,19000,Iowa,2991661,377037,367316,386758,"367,316 to 386,758",12.6,12.3,12.9,12.3 to 12.9,712692,114304,108740,119868,"108,740 to 119,868",16,15.2,16.8,15.2 to 16.8,516865,77634,72731,82537,"72,731 to 82,537",15,14.1,15.9,14.1 to 15.9,191326,32564,29925,35203,"29,925 to 35,203",17,15.6,18.4,15.6 to 18.4,52286,51764,52808,"$51,764 to $52,808"
2012,19,19000,Iowa,2974222,377110,367628,386592,"367,628 to 386,592",12.7,12.4,13,12.4 to 13.0,710390,114105,108686,119524,"108,686 to 119,524",16.1,15.3,16.9,15.3 to 16.9,514519,73339,68587,78091,"68,587 to 78,091",14.3,13.4,15.2,13.4 to 15.2,193065,37956,35450,40462,"35,450 to 40,462",19.7,18.4,21,18.4 to 21.0,50997,50573,51421,"$50,573 to $51,421"
2011,19,19000,Iowa,2963596,376300,367232,385368,"367,232 to 385,368",12.7,12.4,13,12.4 to 13.0,710854,121250,115876,126624,"115,876 to 126,624",17.1,16.3,17.9,16.3 to 17.9,512079,78963,74168,83758,"74,168 to 83,758",15.4,14.5,16.3,14.5 to 16.3,195692,39198,36602,41794,"36,602 to 41,794",20,18.7,21.3,18.7 to 21.3,49545,48882,50208,"$48,882 to $50,208"
2010,19,19000,Iowa,2950202,368965,358787,379143,"358,787 to 379,143",12.5,12.2,12.8,12.2 to 12.8,712652,115731,110103,121359,"110,103 to 121,359",16.2,15.4,17,15.4 to 17.0,511131,72763,67783,77743,"67,783 to 77,743",14.2,13.2,15.2,13.2 to 15.2,197934,39502,36745,42259,"36,745 to 42,259",20,18.6,21.4,18.6 to 21.4,48031,47421,48641,"$47,421 to $48,641"
2009,19,19000,Iowa,2905377,342309,333186,351431,"333,186 to 351,431",11.8,11.5,12.1,11.5 to 12.1,701002,109384,104021,114747,"104,021 to 114,747",15.6,14.8,16.4,14.8 to 16.4,495294,64558,60055,69061,"60,055 to 69,061",13,12.1,13.9,12.1 to 13.9,200099,40160,37259,43061,"37,259 to 43,061",20.1,18.6,21.5,18.6 to 21.5,48065,47648,48482,"$47,648 to $48,482"
2008,19,19000,Iowa,2899767,331057,322082,340033,"322,082 to 340,033",11.4,11.1,11.7,11.1 to 11.7,700634,99569,94498,104640,"94,498 to 104,640",14.2,13.5,14.9,13.5 to 14.9,498284,59823,55513,64133,"55,513 to 64,133",12,11.1,12.9,11.1 to 12.9,197143,35072,32439,37704,"32,439 to 37,704",17.8,16.5,19.1,16.5 to 19.1,49007,48380,49634,"$48,380 to $49,634"
2007,19,19000,Iowa,2881771,316303,307371,325234,"307,371 to 325,234",11,10.7,11.3,10.7 to 11.3,695509,95200,90288,100111,"90,288 to 100,111",13.7,13,14.4,13.0 to 14.4,500413,58426,54149,62703,"54,149 to 62,703",11.7,10.8,12.5,10.8 to 12.5,190977,32798,30381,35214,"30,381 to 35,214",17.2,15.9,18.4,15.9 to 18.4,47324,46771,47877,"$46,771 to $47,877"
2006,19,19000,Iowa,2878433,315973,308007,323939,"308,007 to 323,939",11,10.7,11.3,10.7 to 11.3,696074,96323,91986,100659,"91,986 to 100,659",13.8,13.2,14.5,13.2 to 14.5,502995,59918,56081,63755,"56,081 to 63,755",11.9,11.1,12.7,11.1 to 12.7,188416,31958,29927,33989,"29,927 to 33,989",17,15.9,18,15.9 to 18.0,44560,44059,45061,"$44,059 to $45,061"
2005,19,19000,Iowa,2853598,308713,300673,316753,"300,673 to 316,753",10.8,10.5,11.1,10.5 to 11.1,657621,91700,87023,96376,"87,023 to 96,376",13.9,13.2,14.7,13.2 to 14.7,476685,57449,53412,61486,"53,412 to 61,486",12.1,11.2,12.9,11.2 to 12.9,177651,30954,28789,33120,"28,789 to 33,120",17.4,16.2,18.6,16.2 to 18.6,43610,43114,44107,"$43,114 to $44,107"
2004,19,19000,Iowa,2905637,304598,280304,328892,"280,304 to 328,892",10.5,9.6,11.3,9.6 to 11.3,668632,87899,77890,97909,"77,890 to 97,909",13.1,11.6,14.6,11.6 to 14.6,482261,53683,44868,62498,"44,868 to 62,498",11.1,9.3,13,9.3 to 13.0,179370,29236,24684,33787,"24,684 to 33,787",16.3,13.8,18.8,13.8 to 18.8,42865,41330,44400,"$41,330 to $44,400"
2003,19,19000,Iowa,2892343,263817,244880,282753,"244,880 to 282,753",9.1,8.5,9.8,8.5 to 9.8,678387,83151,74721,91581,"74,721 to 91,581",12.3,11,13.5,11.0 to 13.5,491964,49808,43396,56220,"43,396 to 56,220",10.1,8.8,11.4,8.8 to 11.4,178350,28662,23356,33969,"23,356 to 33,969",16.1,13.1,19,13.1 to 19.0,42278,40822,43733,"$40,822 to $43,733"
2002,19,19000,Iowa,2886448,262013,243122,280903,"243,122 to 280,903",9.1,8.4,9.7,8.4 to 9.7,691508,75288,66465,84111,"66,465 to 84,111",10.9,9.6,12.2,9.6 to 12.2,500894,47585,40150,55020,"40,150 to 55,020",9.5,8,11,8.0 to 11.0,181172,23852,19094,28611,"19,094 to 28,611",13.2,10.5,15.8,10.5 to 15.8,41052,39341,42764,"$39,341 to $42,764"
2001,19,19000,Iowa,2868973,236115,219304,252927,"219,304 to 252,927",8.2,7.6,8.8,7.6 to 8.8,697555,68259,56752,79765,"56,752 to 79,765",9.8,8.1,11.4,8.1 to 11.4,512866,41088,31057,51119,"31,057 to 51,119",8,6.1,10,6.1 to 10.0,180681,23232,19302,27163,"19,302 to 27,163",12.9,10.7,15,10.7 to 15.0,41216,39770,42661,"$39,770 to $42,661"
2000,19,19000,Iowa,2864222,237684,221074,254294,"221,074 to 254,294",8.3,7.7,8.9,7.7 to 8.9,703991,75952,67314,84590,"67,314 to 84,590",10.8,9.6,12,9.6 to 12.0,516425,45872,38460,53284,"38,460 to 53,284",8.9,7.4,10.3,7.4 to 10.3,181497,25628,21154,30103,"21,154 to 30,103",14.1,11.7,16.6,11.7 to 16.6,40443,38655,42232,"$38,655 to $42,232"
1999,19,19000,Iowa,2865354,243340,218128,268552,"218,128 to 268,552",8.5,7.6,9.4,7.6 to 9.4,727757,79806,62786,96826,"62,786 to 96,826",11,8.6,13.3,8.6 to 13.3,522571,46514,31684,61344,"31,684 to 61,344",8.9,6.1,11.7,6.1 to 11.7,185830,27333,19605,35062,"19,605 to 35,062",14.7,10.5,18.9,10.5 to 18.9,39537,38054,41019,"$38,054 to $41,019"
1998,19,19000,Iowa,2845329,270604,244108,297100,"244,108 to 297,100",9.5,8.6,10.4,8.6 to 10.4,739423,101774,85253,118295,"85,253 to 118,295",13.8,11.5,16,11.5 to 16.0,528968,63941,49513,78369,"49,513 to 78,369",12.1,9.4,14.8,9.4 to 14.8,190024,30849,23428,38269,"23,428 to 38,269",16.2,12.3,20.1,12.3 to 20.1,38159,36363,39955,"$36,363 to $39,955"
1997,19,19000,Iowa,NA,280797,254484,307110,"254,484 to 307,110",9.9,9,10.9,9.0 to 10.9,NA,100262,87008,113516,"87,008 to 113,516",13.7,11.9,15.5,11.9 to 15.5,NA,64348,53110,75586,"53,110 to 75,586",12.1,10,14.2,10.0 to 14.2,NA,28623,22192,35053,"22,192 to 35,053",15.4,11.9,18.9,11.9 to 18.9,35427,33681,37172,"$33,681 to $37,172"
1996,19,19000,Iowa,NA,269368,244569,294166,"244,569 to 294,166",9.5,8.6,10.4,8.6 to 10.4,NA,93292,80494,106091,"80,494 to 106,091",12.6,10.9,14.3,10.9 to 14.3,NA,56218,44317,68119,"44,317 to 68,119",10.4,8.2,12.6,8.2 to 12.6,NA,29423,23469,35377,"23,469 to 35,377",15.7,12.5,18.9,12.5 to 18.9,33721,31827,35616,"$31,827 to $35,616"
1995,19,19000,Iowa,NA,276364,260650,292078,"260,650 to 292,078",9.8,9.2,10.3,9.2 to 10.3,NA,101690,92564,110815,"92,564 to 110,815",13.7,12.5,14.9,12.5 to 14.9,NA,62281,56148,68414,"56,148 to 68,414",11.5,10.3,12.6,10.3 to 12.6,NA,34134,27302,40966,"27,302 to 40,966",18,14.4,21.6,14.4 to 21.6,33436,31847,35025,"$31,847 to $35,025"
1993,19,19000,Iowa,NA,312380,287506,337254,"287,506 to 337,254",11.1,10.2,12,10.2 to 12.0,NA,112170,99671,124669,"99,671 to 124,669",15.1,13.4,16.8,13.4 to 16.8,NA,70282,59790,80774,"59,790 to 80,774",13.1,11.2,15.1,11.2 to 15.1,NA,38072,33833,42311,"33,833 to 42,311",19.8,17.6,22,17.6 to 22.0,28867,27668,30066,"$27,668 to $30,066"
1989,19,19000,Iowa,NA,283815,270538,297092,"270,538 to 297,092",10.4,9.9,10.9,9.9 to 10.9,NA,111222,103328,119116,"103,328 to 119,116",15.3,14.2,16.4,14.2 to 16.4,NA,69842,63456,76228,"63,456 to 76,228",13.5,12.2,14.7,12.2 to 14.7,NA,35969,30959,40979,"30,959 to 40,979",18,15.5,20.5,15.5 to 20.5,26169,25014,27324,"$25,014 to $27,324"
